GRID_NUM,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
1,0.01063409261405468,0.0,0.16208021342754364,0.0,0.0923502892255783,0.0,0.04871870204806328,0.0,0.5213878154754639,0.16482889652252194
2,0.007903970777988434,0.0,0.12390413135290144,0.0,0.048724591732025146,0.0,0.029213214293122288,0.0,0.5783571600914001,0.21189695596694946
3,0.002571017947047949,0.0,0.06632555276155473,0.0,0.04557753726840019,0.0,0.06078039109706879,0.0,0.592124879360199,0.23262059688568115
4,0.0,0.0,0.051538106054067605,0.0,0.046714745461940765,0.0,0.03744957596063614,0.0,0.5986613035202026,0.2656362652778625
5,0.0014928955351933837,0.0,0.08180560916662216,0.0,0.049829233437776566,0.0,0.037855044007301324,0.0,0.5934127569198608,0.235604465007782
6,0.0019904267974197865,0.0,0.10057754814624786,0.0,0.046125661581754684,0.0,0.026419496163725853,0.0,0.5921677350997925,0.2327191233634949
7,0.002620731946080923,0.0,0.21011632680892944,0.0,0.04583397507667542,0.0,0.02813209593296051,0.0,0.5370097756385803,0.17628711462020874
8,0.005973667372018098,0.0,0.08482962101697923,0.0,0.0458720363676548,0.0,0.04097188264131546,0.0,0.591356098651886,0.23099666833877566
9,0.001530733541585505,0.0,0.08368989825248718,0.0,0.06405340880155563,0.0,0.044195037335157394,0.0,0.5855013132095337,0.2210296392440796
10,0.01887177675962448,0.0,0.1186717003583908,0.0,0.0691065788269043,3.598125113057904e-05,0.03648845851421356,0.0,0.5613844990730286,0.19544100761413571
11,0.01834568940103054,0.0007464714581146835,0.346811443567276,0.0,0.049310773611068726,0.011851983144879341,0.04880982264876366,0.0,0.4233323931694031,0.10079139471054076
12,0.0004976332420483233,0.0,0.035691384226083755,0.0,0.02789519913494587,0.0,0.03998011723160744,0.0,0.5914508700370789,0.3044847846031189
13,0.0,0.0,0.02747708186507225,0.0,0.022777801379561424,0.0,0.02157166227698326,0.0,0.5657950043678284,0.3623784780502319
14,0.0,0.0,0.039337944239377975,0.0,0.030323725193738937,0.0009364023571833969,0.02545246109366417,0.0,0.5870965123176575,0.3168529272079468
15,0.0,0.0,0.08882451057434082,0.0,0.05060843378305435,0.0,0.03721114993095397,0.0,0.5916818976402282,0.2316740155220032
16,0.0008647763752378523,0.0,0.3554207384586334,0.0,0.08384178578853606,0.0,0.057339791208505624,0.0,0.4089754521846771,0.0935574471950531
17,0.0007464814116246998,0.0,0.06982734799385071,0.0,0.05366102978587151,0.0,0.0733608826994896,0.0,0.5837845206260681,0.21861970424652102
18,0.0009952653199434278,0.0,0.08911433070898056,0.0,0.03480248153209686,0.0,0.021001070737838745,0.0,0.5982947945594788,0.25579208135604853
19,0.0004976365598849952,0.0,0.2630964815616608,0.0,0.035090051591396325,0.0014219657750800252,0.02678600884974003,0.0,0.5137797594070433,0.15932810306549072
20,0.0,0.0,0.09781794250011444,0.0,0.01872740499675274,0.0,0.04954008385539055,0.0,0.5947447419166565,0.2391698360443115
21,0.0,0.0,0.013965927995741369,0.0,0.01341303437948227,0.013693270273506641,0.020787149667739868,0.0,0.5527928471565247,0.3853477835655213
22,0.0,0.0,0.02406198531389236,0.0,0.01869879476726055,0.13590702414512634,0.03167835250496864,0.0,0.5780759453773499,0.2115778923034668
23,0.0,0.0,0.013990671373903751,0.0,0.013439704664051531,0.10228171944618224,0.0246620662510395,0.0,0.5972193479537964,0.24840646982192996
24,0.0,0.0,0.04268491268157959,0.0,0.03145626187324524,0.0067579117603600025,0.055512525141239166,0.0,0.5986736416816713,0.26491475105285645
25,0.0014947921736165881,0.0,0.09749116748571396,0.0,0.04809603840112686,0.0,0.026546064764261246,0.0,0.5926280617713928,0.23374390602111814
26,0.006192490458488464,0.0,0.07054786384105681,0.0,0.05152281001210213,0.0,0.049507278949022286,0.0,0.5913141369819641,0.2309154272079468
27,0.015314985997974873,0.0,0.15855513513088226,0.0,0.05568947643041611,0.0004582644032780081,0.04298789054155349,0.0,0.5448237657546997,0.1821705102920532
28,0.0034589676652103662,0.0,0.29005396366119385,0.0,0.03817007318139076,0.03368665277957916,0.02183511108160019,0.0,0.4783992171287537,0.1343960165977478
29,0.00028444468625821173,0.0,0.21963419020175934,0.0,0.03586285561323166,0.005639838520437479,0.02203497663140297,0.0,0.5388703942298889,0.17767328023910522
30,0.0005448171868920326,0.0,0.1029035672545433,0.0,0.03909922018647194,0.1275321990251541,0.03712115436792374,0.0,0.5251994132995605,0.167599618434906
31,0.0,0.0,0.05222500115633011,0.0,0.02919868007302284,0.0009374787332490085,0.03323769196867943,0.0,0.5957558751106262,0.2886452674865723
32,0.0,0.0,0.055392324924468994,0.0,0.043733861297369,0.006033143028616904,0.04807388037443161,0.0,0.5974018573760986,0.2493649125099182
33,0.005224579945206642,0.0014929019380360842,0.08869103342294693,0.0,0.053419724106788635,0.13701699674129486,0.0327865369617939,0.0,0.5185762643814087,0.16279196739196775
34,0.0004975846968591213,0.0,0.08106689900159836,0.0,0.05341866239905357,0.0,0.07860053330659865,0.0,0.5765436887741089,0.20987260341644287
35,0.0,0.0,0.0488210953772068,0.0,0.04436791315674782,0.05467145144939423,0.04097262397408485,0.0,0.5873426198959351,0.22382432222366333
36,0.00034013722324743867,0.0,0.13207922875881195,0.0,0.042681485414505005,0.10836415737867357,0.04586026817560196,0.0,0.5123652219772338,0.15830951929092407
37,0.0,0.0,0.11000439524650574,0.0,0.056490622460842126,0.0,0.04438995569944382,0.0,0.5778241753578186,0.2112908363342285
38,0.0,0.0,0.1736735850572586,0.0,0.07065586000680923,0.007976379245519638,0.05686029419302941,0.0,0.5240615606307985,0.16677230596542358
39,0.0,0.0,0.11100101470947266,0.0,0.06825267523527145,4.0819300920702524e-05,0.06516110897064209,0.0,0.5606918334960938,0.19485253095626834
40,0.0,0.0,0.10411275178194046,0.0,0.06744792312383653,0.0,0.046751175075769424,0.0,0.5742496848106384,0.20743846893310547
41,0.00877358205616474,0.0,0.08334757387638092,0.0,0.06070702150464057,0.0,0.04157569631934166,0.0,0.5851181149482727,0.22047799825668332
42,0.0,0.0,0.07083910703659058,0.0,0.0550185851752758,0.0,0.037775635719299316,0.0,0.595349133014679,0.24101752042770386
